tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd
mel8_mrp3,seed-315_sample-1_seed-213_sample-4,1.1993803977966309,0.2416245,0.24168432,0.37236896,1.1629626,0.26724327,0.38899723,0.44463256,0.3900612,0.98369473,0.48439658,1.7050889,2.0979857,2.342869,1.7067891,2.0547922,0.01307646,0.13808736,0.41502824,0.46537232,0.01412008
mel8_mrp3,seed-315_sample-1_seed-1_sample-1,1.4145948886871338,0.19194153,0.19207087,0.25780573,1.7424064,0.41494995,0.25906765,0.3336439,0.2591622,1.1644655,0.44659323,1.9974302,2.4545193,2.3680387,2.000309,2.4061122,0.012604847,0.19229671,0.15411858,0.43788046,0.013191575
mel8_mrp3,seed-315_sample-1_seed-42_sample-3,1.1726021766662598,0.20853777,0.20856336,0.23552212,1.453656,0.9365941,0.2188712,0.25336418,0.21908042,1.5631305,0.9719505,1.7351568,2.0848742,2.1543741,1.7358524,1.7922754,0.016373083,0.21547839,0.25737965,0.4924633,0.016754877
mel8_mrp3,seed-315_sample-1_seed-315_sample-4,1.149395227432251,0.20069315,0.20079054,0.2822319,0.6706314,0.34214026,0.3161454,0.39846182,0.3164635,0.76169676,0.4149641,1.7936558,1.9427099,1.880632,1.794418,1.8622715,0.008992863,0.16680181,0.10892877,0.37469545,0.009216778
mel8_mrp3,seed-315_sample-1_seed-42_sample-0,1.3722141981124878,0.34593996,0.34597164,0.4242015,1.2674032,0.524027,0.35231796,0.48304406,0.35256684,1.1625444,0.5163791,1.961013,2.3372514,2.2428253,1.963558,2.3215754,0.0072555374,0.23951007,0.08394835,0.46713158,0.0084790755
mel8_mrp3,seed-315_sample-1_seed-213_sample-2,1.1098688840866089,0.3278417,0.32797623,0.38293234,1.0238837,0.5115438,0.23686609,0.29378214,0.2369563,1.179157,0.47595793,1.6585108,1.9226793,1.9698571,1.6593745,1.8213637,0.008286407,0.17449343,0.24403831,0.57421577,0.008935912
mel8_mrp3,seed-315_sample-1_seed-177_sample-0,1.1291636228561401,0.25096014,0.25103587,0.3539059,0.8273497,0.37831357,0.28064755,0.40376842,0.28082705,0.76256967,0.41758424,1.7274144,1.9438893,1.9331251,1.7282329,1.8436899,0.012608628,0.14925313,0.092901535,0.38028815,0.013901641
mel8_mrp3,seed-315_sample-1_seed-1_sample-0,1.3081514835357666,0.22019446,0.22032784,0.32672793,1.1044898,0.31732085,0.1992656,0.34906837,0.19940104,1.1926764,0.34117004,1.9380122,2.2431073,2.1527257,1.9394038,2.1946986,0.014319217,0.13870241,0.112474866,0.5402585,0.03082065
mel8_mrp3,seed-315_sample-1_seed-177_sample-3,1.2569059133529663,0.36460194,0.3647657,0.42885518,1.256026,0.4666711,0.23216309,0.3551539,0.23224993,0.84645116,0.37343583,1.8374144,2.130117,2.0922132,1.8396947,2.0938532,0.011168733,0.19415638,0.2000337,0.3304485,0.012036263
mel8_mrp3,seed-315_sample-1_seed-17_sample-0,1.0579736232757568,0.2416396,0.24205433,0.24973218,0.36854407,0.28111038,0.19414638,0.2091556,0.19435619,0.35001436,0.21840502,1.6737305,1.7773154,1.7471147,1.674487,1.7288142,0.00970194,0.089818396,0.034738433,0.37599745,0.01074301
mel8_mrp3,seed-315_sample-1_seed-42_sample-1,1.201468586921692,0.34431136,0.3444307,0.45618516,1.2740619,0.5333352,0.32564938,0.487169,0.32611522,1.3023633,0.48979604,1.803838,2.004409,1.9489292,1.8046503,1.9070963,0.010371811,0.12596688,0.12381651,0.45272183,0.011082406
mel8_mrp3,seed-315_sample-1_seed-133_sample-2,1.0647492408752441,0.1458715,0.14603439,0.1840196,0.4646589,0.40033793,0.2174231,0.25356853,0.21755214,0.51439166,0.4188473,1.6765072,1.8260491,1.8468689,1.6772382,1.7407321,0.006336378,0.14333291,0.102304876,0.2538717,0.00734737
mel8_mrp3,seed-315_sample-1_seed-13_sample-3,1.1893857717514038,0.118482426,0.11860662,0.14569207,1.1894978,0.24102522,0.15490133,0.1851137,0.1549951,1.3121231,0.24755244,1.8078253,2.1102936,2.0748978,1.8089031,2.0169709,0.009687185,0.075167015,0.04642372,0.4137134,0.009858933
mel8_mrp3,seed-315_sample-1_seed-213_sample-1,1.242102026939392,0.25794497,0.25812483,0.33375722,0.98810035,0.48977414,0.22049735,0.3293783,0.22050837,1.1496968,0.5120775,1.8787355,2.1681952,2.2027984,1.8801209,2.0126693,0.01211095,0.2208493,0.23265797,0.28781348,0.02699982
