,n_structures,auc_best_mean,auc_last_mean,auc_random_mean,auc_mean_mean,auc_best_SD,auc_last_SD,auc_random_SD,auc_mean_SD,auc_best_SEM,auc_last_SEM,auc_random_SEM,auc_mean_SEM
31,32,0.7716692393091305,0.7737864514759712,0.7672964999007215,0.7968235213108102,0.013518871201198336,0.014658676816124198,0.017464990208098774,0.015050388986281214,0.004275042439024316,0.00463548062232577,0.005522914837013024,0.00475935088681613
32,33,0.7710648174661049,0.771207211038319,0.7665355568238363,0.796836866539427,0.012799211357530474,0.014831927005719168,0.014022671269177937,0.015023479122753465,0.004047466014369201,0.00469026714274338,0.0044343580090406365,0.004750841240788932
33,34,0.7712620435646886,0.7761561743072465,0.7706461020774523,0.7970973541071193,0.01338938031455427,0.017460146844551966,0.01369727375033072,0.015124225513055159,0.004234093825221324,0.00552138323097861,0.004331458278588159,0.004782700046728297
34,35,0.7715866600002567,0.7738170189415791,0.7692482545840209,0.7973911131213599,0.013332187561135545,0.014690916188724538,0.01397019375354589,0.015131737673943454,0.004216007888575368,0.004645675607100959,0.0044177631615062,0.004785075600583962
35,36,0.7704902391073226,0.770039228502581,0.7697347650604311,0.7975395913651594,0.011707969252995581,0.015438235793956947,0.011938815274840902,0.015117651953402507,0.003702384961468619,0.004881998816364189,0.003775384883250639,0.004780621304644561
36,37,0.7708907638946585,0.7684805322251208,0.7663153582710509,0.7976099080903455,0.012378312100918755,0.01690185632070926,0.015939113505153972,0.01519269633138788,0.00391436598273273,0.005344836265835461,0.0050403902560236516,0.004804352420646998
37,38,0.7704171695432136,0.7665738894186389,0.7709658150080598,0.7975850820364044,0.012327104869328583,0.01593248654748543,0.0184116656579626,0.015271012622109484,0.0038981728342830624,0.005038294628004641,0.005822279899666447,0.004829118206304616
38,39,0.7706264074797835,0.7708379360960927,0.7676288128106352,0.7976664396248813,0.013171575500811258,0.014651069584887714,0.01466345372040514,0.015272621548197796,0.004165217895543657,0.004633075004586282,0.004636991212095008,0.00482962699340721
39,40,0.7703083275531865,0.7675541111708256,0.7709126037990707,0.7978240846751665,0.01275524392749556,0.016464034759073935,0.013673191616949378,0.015359812036198893,0.004033562292191759,0.005206384931485519,0.004323842839348058,0.004857199046645715
40,41,0.7707981507981154,0.7721526933246188,0.7686675163344066,0.7980508599431007,0.013707784929560835,0.01474230111761267,0.013712157187774038,0.015344568638121104,0.004334782205314301,0.0046619249483701875,0.004336164834761511,0.00485237866092507
