,tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd,peptide,Ensemble Pairwise RMSD (Å)
348,row_6333,seed-21_sample-2_seed-213_sample-1,3.8324458599090576,0.39839455,0.3984801,0.51127553,9.974102,10.986063,0.16465308,0.3728747,0.16510758,9.809737,11.353576,1.6254358,7.852076,7.6778836,1.6287729,2.8535924,0.010682838,3.5500917,3.7979794,0.7159939,0.012626488,M5K,0.12626488
349,row_6333,seed-21_sample-2_seed-1_sample-1,0.8206602334976196,0.34900916,0.3490256,0.4752901,1.2378551,0.8596608,0.38825694,0.45837942,0.3890038,1.4131483,1.0967271,0.91122717,1.4503069,1.5062585,0.9119058,1.3516126,0.0035360614,0.45098543,0.5755608,0.42169926,0.022387618,M5K,0.22387618
350,row_6333,seed-21_sample-2_seed-315_sample-1,1.4968045949935913,0.12674068,0.1268448,0.15066904,2.4235282,0.69668186,0.18722257,0.20768103,0.18739112,2.6679742,0.8370367,2.03365,2.7567132,2.7641098,2.0363085,2.8838615,0.004926024,0.22110176,0.2555381,1.2138603,0.00605047,M5K,0.060504699999999995
351,row_6333,seed-21_sample-2_seed-1_sample-3,2.223935604095459,0.4339246,0.4339405,0.53581893,2.6240864,6.4228086,0.3566318,0.4560611,0.3573603,3.9231362,5.954016,2.1944563,5.041644,4.964671,2.2015967,3.4456136,0.0049044657,4.4238133,4.397481,1.0621977,0.012431305,M5K,0.12431305000000001
352,row_6333,seed-21_sample-2_seed-1001_sample-0,3.5849950313568115,0.35685155,0.35687453,0.47621137,7.811509,8.251697,0.4170479,0.47807634,0.41801324,9.161433,9.119196,0.94269824,7.7172966,7.469962,0.94428086,1.7242029,0.008679877,2.8198056,2.8191383,0.4834638,0.010174137,M5K,0.10174137
353,row_6333,seed-21_sample-2_seed-133_sample-0,0.562924325466156,0.40998173,0.41006485,0.45809704,1.0816224,1.0226476,0.24179778,0.34565353,0.24217433,1.3662857,1.4082787,0.60519564,0.83759665,1.0123944,0.6070593,1.0324944,0.0046265204,0.6971922,1.1373563,0.2661713,0.0048412243,M5K,0.04841224300000001
354,row_6333,seed-21_sample-2_seed-17_sample-4,3.68270754814148,0.57158256,0.571767,0.7613128,9.882302,11.070067,0.40124083,0.6074409,0.40217623,9.723569,11.328045,1.4809823,7.6117754,7.339054,1.483206,2.5826774,0.009490482,3.4442203,3.7300544,0.78634596,0.011767727,M5K,0.11767727
355,row_6333,seed-21_sample-2_seed-1_sample-2,1.2958606481552124,0.3346115,0.33465588,0.47146016,1.4150375,1.5024513,0.24895826,0.40062812,0.24938673,1.3936741,1.5124137,1.7419188,2.2597864,2.3735235,1.7432293,1.8767506,0.004958186,0.7365041,0.7919216,0.71201605,0.0050295726,M5K,0.050295726
356,row_6333,seed-21_sample-2_seed-42_sample-0,1.033402442932129,0.15520483,0.15523401,0.3534932,1.0972816,1.9481198,0.47414735,0.54471976,0.4748151,1.3845227,2.6336355,1.1023366,2.1291304,2.5678759,1.106118,1.6396815,0.0041432036,1.5052856,2.1171134,0.4983098,0.0045712674,M5K,0.045712673999999995
357,row_6333,seed-21_sample-2_seed-42_sample-4,0.6300604939460754,0.23051421,0.23065193,0.38342652,1.1677408,1.036159,0.3313755,0.3940315,0.33212084,1.4965248,1.2855169,0.6433272,1.0667862,1.0127484,0.6441386,0.99027056,0.006362246,0.65361744,0.43304065,0.41280454,0.007743812,M5K,0.07743812
358,row_6333,seed-21_sample-2_seed-177_sample-1,1.253238320350647,0.44829452,0.44839874,0.5852901,2.3995109,0.8078745,0.25715873,0.3949765,0.25769615,2.6596382,0.68984395,1.3499994,2.4285865,2.4788628,1.3521047,2.1207817,0.0041432036,0.7291476,0.7907667,0.67279834,0.004209025,M5K,0.042090249999999996
359,row_6333,seed-21_sample-2_seed-17_sample-2,3.587887763977051,0.54342103,0.5436119,0.72118074,9.829772,11.088296,0.21310398,0.5595533,0.21348621,9.899595,11.414997,1.5726647,7.4050264,7.187727,1.5756942,2.6176555,0.011668911,3.4370847,3.8545167,0.8967336,0.013799833,M5K,0.13799833
360,row_6333,seed-21_sample-2_seed-13_sample-0,3.715221881866455,0.6259808,0.6261438,0.8081242,10.113247,11.208017,0.3590549,0.62013924,0.36009493,10.074045,11.475638,1.3982793,7.69909,7.379798,1.4006413,2.353737,0.012339774,3.4608476,3.7101421,0.704616,0.014881364,M5K,0.14881364
